Poster URL,Title,Genres,Country,Director,Duration,Year,Actors,Description
https://cdn.upmovies.net/MV5BNzZmOTU1ZTEtYzVhNi00NzQxLWI5ZjAtNWNhNjEwY2E3YmZjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,Fast X,"Action, Adventure, Crime",United States,Louis Leterrier,141 min,2023,"Vin Diesel, Jordana Brewster, Tyrese Gibson",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
https://cdn.upmovies.net/MV5BYzI1ZTJjOGYtMWFkMi00M2M2LWEyNTgtZDU1NGVjZGYzMGU1XkEyXkFqcGdeQXVyNjYxMjExOTg@._V1_SX300.jpg,Anna X,N/A,United Kingdom,Daniel Raggett,98 min,2021,"Emma Corrin, Nabhaan Rizwan",Two strangers trying to adjust as they find themselves plunge in the gleaming world of New York's social elite.
https://cdn.upmovies.net/MV5BNzA0ZTMxZDItZTY1NC00NGYyLWFmOWYtNTA1OWJkNDgzZWUxXkEyXkFqcGdeQXVyMTE2Mzc0NDA3._V1_SX300.jpg,Conjure X,Horror,United States,"William Peters, Kendal Sinn",76 min,2020,"Sarah Agor, Ari Bavel, Stephen Blackehart, Angela Borrello",Ghastly tales of the supernatural and menacing creatures from another world are only some of the chilling stories that haunt this horror anthology.
https://cdn.upmovies.net/MV5BYmIzNjE4NjgtZjM5Mi00NTI0LTg5NTEtM2U2NmYyZmU2MjlhXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Expedition X: Season 2,"Mystery, Reality-TV",United States,N/A,42 min,2020,"Josh Gates, Phil Torres, Jessica Chobot","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the unknown."
https://cdn.upmovies.net/0BPIUsA.jpg,Monster X,Horror,United States,Jaysen Buterin,,2017,Matt Tatroe,
https://cdn.upmovies.net/MV5BMTNiMDczNGYtOGI5OC00OTE5LTkzNTUtOTZhZDQ5MjU0YWFkXkEyXkFqcGdeQXVyNDc3MzQ5Nzc@._V1_SX300.jpg,Hostage X,Thriller,N/A,Paul Ruven,85 min,2017,"Sytse Faber, Adnan Fekovic, Lua Helenklaken, Stefanie Joosten","A man wakes up with no memory. His kidnappers will kill him, unless he finds out who he is and why these foreign people want to kill him."
https://cdn.upmovies.net/MV5BMTAzNTg4NjEyMTNeQTJeQWpwZ15BbWU4MDcxNzM2MDQx._V1_SX300.jpg,X Company: Season 3,"Drama, War",Canada,N/A,44 min,2017,"Lara Jean Chorostecki, Evelyne Brochu, Jack Laskey, Warren Brown","X COMPANY is an emotionally-driven character drama, set in the thrilling and dangerous world of WWII espionage and covert operations. It follows the stories of five highly skilled young ..."
https://cdn.upmovies.net/MV5BOGRjYWUwNzEtY2Q4YS00NTYzLTgyMDItNzVmYzA3OWRiYjc4XkEyXkFqcGdeQXVyOTcyMTUwNDk@._V1_SX300.jpg,Stuart X,"Documentary, Short, Biography",Australia,Thibault Upton,5 min,2019,Cate Blanchett,Stuart Iredale was born with Fragile X during the 1950s; a time when the disability was little know. At 60 years old Stuart was correctly diagnosed.
https://cdn.upmovies.net/YBsBFWL.jpg,Expedition X: Season 1,"Mystery, Reality-TV",,,,2020,"Jessica Chobot, Josh Gates, Phil Torres","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the unknown."
https://cdn.upmovies.net/MV5BNGNkMmJiZWYtZmRmZS00YmQ1LWE0YzQtNzdkZDBhOWU0YWM1L2ltYWdlXkEyXkFqcGdeQXVyMTI4NDU5MTg@._V1_SX300.jpg,Conspiracy X,Horror,United Kingdom,"Marina Akarepi, Britmic, Dustin Ferguson, Jason Impey, Kieran Johnston, Sam Mason-Bell, Rob Ulitski, Michael J. Epstein",N/A,2017,"Sophia Cacciola, Martin W. Payne, Ryan Carter, Kevin Cordell",N/A
https://cdn.upmovies.net/MV5BZGI3NzBhMDEtMTRjMy00ZTY1LWE4ODgtNjk1M2Y5MzM2MzhkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,Adonis X,Drama,Philippines,Bong Ramos,75 min,2022,"Kristof Garcia, Kurt Kendrick, Jaycee Domincel","Dan, a struggling visual artist, discovers that his creation, Adonis X, can come to life, forming a strong bond between them. However, their friendship may be more than meets the eye."
