movie_id,movie_image,movie_title,genres,country,director,duration,movie_year,actors,description,action_link,movie_link,episode_links
11,https://cdn.upmovies.net/D0EVh9l.jpg,D-day 360,Documentary,United States,,59 min,2014,,,https://upmovies.net/watch/zdKPR4v1-d-day-360.html,https://eplayvid.net/watch/9ce3e30569a8485,
12,https://cdn.upmovies.net/MV5BYTcwZGNhOTEtYTJiOC00MGU3LWIzNzAtMzVlYjUxOGFjODBlXkEyXkFqcGdeQXVyNzI2MzA2OTE@._V1_SX300.jpg,D-frag! Ova,"Animation, Comedy",,,,2014,"Shizuka Itô, Katsuyuki Konishi, Chiwa Saitô, Mikako Takahashi",,https://upmovies.net/watch/oxQDqA4v-d-frag-ova.html,https://eplayvid.net/watch/639e8e89e152aaf,
13,https://cdn.upmovies.net/MV5BMjE3NDI2NDYyMV5BMl5BanBnXkFtZTgwODc4ODE0NDE@._V1_SX300.jpg,D.l. Hughley: Clear,Comedy,United States,Jay Chapman,60 min,2014,D.L. Hughley,"D.L. Hughley takes the stage at the Regency Ballroom in San Francisco for his new stand up special. In this uproarious performance, Hughley riffs on everything from the value of having nosy white neighbors to Colorado legalizing marijuana.",https://upmovies.net/watch/JdArmYNv-d-l-hughley-clear.html,https://eplayvid.net/watch/68011da8839972e,
14,https://cdn.upmovies.net/oQ67XXR.jpg,Manzo'd With Children: Season 1,Reality-TV,United States,,,2014–,"Albert Manzo, Caroline Manzo",,https://upmovies.net/watch/qvo7aRvl-manzo-d-with-children-season-1.html,https://eplayvid.net/watch/5c29d08aaeb5af1,"https://eplayvid.net/watch/5c29d08aaeb5af1, https://eplayvid.net/watch/d0dd2c5c5f8f184, https://eplayvid.net/watch/13d444adf550577, https://eplayvid.net/watch/6bd0ca79eb0cb0f, https://eplayvid.net/watch/620aa17eb84b6e6, https://eplayvid.net/watch/7af5e6fa5da909a, https://eplayvid.net/watch/8b537c3772c7423"
15,https://cdn.upmovies.net/MV5BMjE1MDM4ODkxMF5BMl5BanBnXkFtZTgwNzM3NjQxMjE@._V1_SX300.jpg,Bigfoot Vs. D.b. Cooper,Horror,United States,David DeCoteau,77 min,2014,"Liam Watkins, D.J. Aiken, Kyle George, Keith Metcalf",When several young hunters arrive at a secluded lodge in the Pacific Northwest little do they know that they will become the hunted.,https://upmovies.net/watch/qvoJeOdl-bigfoot-vs-d-b-cooper.html,https://eplayvid.net/watch/f4f9935aeb3643c,
16,https://cdn.upmovies.net/MV5BNzk0MTQ4MzI5Ml5BMl5BanBnXkFtZTgwNjc4NTc5MzE@._V1_SX300.jpg,Manzo'd With Children: Season 3,Reality-TV,United States,,,2014–,"Albert Manzo, Albie Manzo, Caroline Manzo, Chris Manzo","After five seasons on The Real Housewives of New Jersey, Caroline Manzo was ready to leave the crazy drama behind for more family friendly fare. Enter spin-off, Manzo'd with Children, where viewers can get a weekly, more in-depth look at the Manzo family and Caroline's role as Manzo matriarch.",https://upmovies.net/watch/EdBWq9vj-manzo-d-with-children-season-3.html,https://eplayvid.net/watch/efc2e57c7febe14,"https://eplayvid.net/watch/efc2e57c7febe14, https://eplayvid.net/watch/bb4427663fc02c0, https://eplayvid.net/watch/0c98999729e7d9b, https://eplayvid.net/watch/9b2c3438a27bdf6, https://eplayvid.net/watch/7724ab2dbdf94e3, https://eplayvid.net/watch/ef8ef111db35707, https://eplayvid.net/watch/11e47b02440a2d7"
17,https://cdn.upmovies.net/MV5BMTU4NTA3MDI0Ml5BMl5BanBnXkFtZTgwMjg0NDE3MjE@._V1_SX300.jpg,Bill Maher: Live From D.c.,"Documentary, Comedy",United States,Troy Miller,61 min,2014,"Bill Maher, Patrick Moran Donovan, Michael Moore, Gale Nemec","In this special with Bill Maher, the political commentator and satirist discusses midterm elections, income inequality, the Republican psyche, a Trump lawsuit, why the Pope is an atheist and why tattoos are stupid.",https://upmovies.net/watch/bxqKowdJ-bill-maher-live-from-d-c.html,https://eplayvid.net/watch/2bc0fa8425ab9e5,
18,https://cdn.upmovies.net/MV5BZWViYmIzNTktNzFlNi00MmI4LWFiZjItMTJkMzg0NTBkODY5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,D-day: Hidden Traces,"Documentary, History, War",United States,,54 min,2014,"Laurent Dujardin, Emmanuel Ghesquière, Benoît Labbey, Ludovic Le Gaillard","D-Day - June 6th 1944 : Uncovered by recent archeological digs, traces left behind by soldiers and civilians on the battle ground such as helmets, badges, bullets, weapons, and cans plus ...",https://upmovies.net/watch/gdVVwOkd-d-day-hidden-traces.html,https://eplayvid.net/watch/cb5b1eb4fcd719f,
19,https://cdn.upmovies.net/uYhITti.jpg,Agents Of S.h.i.e.l.d.: Season 2,"Action, Drama, Sci-Fi",United States,,,2014," Clark Gregg, Ming-Na Wen, Brett Dalton","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division...",https://upmovies.net/watch/JdA9y5dL-agents-of-s-h-i-e-l-d-season-2.html,https://eplayvid.net/watch/aae4c3b16782d1e,"https://eplayvid.net/watch/aae4c3b16782d1e, https://eplayvid.net/watch/a50ea0a30229b2d, https://eplayvid.net/watch/8c51a8044f58acd, https://eplayvid.net/watch/d8de481c1389ebf, https://eplayvid.net/watch/c202e61c15e37d0, https://eplayvid.net/watch/7873f99192701f1, https://eplayvid.net/watch/3a688d796c65d84, https://eplayvid.net/watch/f6182e42277e704, https://eplayvid.net/watch/9bff5e6e75bfe88, https://eplayvid.net/watch/a431e4db19f03f1, https://eplayvid.net/watch/5d877d9aa1938bb, https://eplayvid.net/watch/bf746a218620d0f, https://eplayvid.net/watch/daaeefc30fdd8d3, https://eplayvid.net/watch/d34a24e9c64fd98, https://eplayvid.net/watch/0981637e5054dd4, https://eplayvid.net/watch/889defc2631761d, https://eplayvid.net/watch/a0c31a61108324a, https://eplayvid.net/watch/001d97864b9c30c, https://eplayvid.net/watch/bcf6b2653510bb1, https://eplayvid.net/watch/d7beeda71566015, https://eplayvid.net/watch/75c472378fd8bd5, https://eplayvid.net/watch/f7180b42a4c0c47"
20,https://cdn.upmovies.net/7ON80ek.jpg,D-frag!,"Animation, Comedy, Anime",Japan,,,2014,"Shizuka Itô, Katsuyuki Konishi, Chiwa Saito",A high-school delinquent is shanghaied into joining a game development club by four not-so-normal girls.,https://upmovies.net/watch/bxqzawGJ-d-frag.html,https://eplayvid.net/watch/97a1e3cbbd116fc,"https://eplayvid.net/watch/97a1e3cbbd116fc, https://eplayvid.net/watch/7ddcf1fce4b25ac, https://eplayvid.net/watch/1ff311dca3456e5, https://eplayvid.net/watch/2f52ca88f471026, https://eplayvid.net/watch/c0a087eb047e9ba, https://eplayvid.net/watch/085ab75b0e513ef, https://eplayvid.net/watch/7b4cc016c0d2f26, https://eplayvid.net/watch/72ee0044b5e419f, https://eplayvid.net/watch/9f3f9196a2c8e62, https://eplayvid.net/watch/fbd137b617eb668, https://eplayvid.net/watch/a5dfe2db680e505, https://eplayvid.net/watch/047e91e54e66fd0"
21,https://cdn.upmovies.net/7JLd1Zz.jpg,Nail'd It!: Season 1,,,,,2014–,"Teazz Yung, Erin-Elizabeth Miller",,https://upmovies.net/watch/ox1r1MGN-nail-d-it-season-1.html,https://eplayvid.net/watch/704688456da6cf6,"https://eplayvid.net/watch/704688456da6cf6, https://eplayvid.net/watch/ee51bb81437808e, https://eplayvid.net/watch/5fbd51e5ed3581b, https://eplayvid.net/watch/affe17134af3144, https://eplayvid.net/watch/c60cff4039ba739, https://eplayvid.net/watch/c6e103b5edde9ac, https://eplayvid.net/watch/32b46d39c99ded0, https://eplayvid.net/watch/c8c2b2237798af3, https://eplayvid.net/watch/7ae76540a7b8ea3, https://eplayvid.net/watch/37085f19067653c"
22,https://cdn.upmovies.net/501774.jpg,Don't Say No Until I Finish Talking: The Story Of Richard D. Zanuck,Documentary Biography,,Laurent Bouzereau,,2013,Virginia Fox Lawrence Gordon Richard D. Zanuck Darryl F. Zanuck,A look at the life and work of legendary film producer Richard D. Zanuck.,https://upmovies.net/watch/gdVVoRXd-don-t-say-no-until-i-finish-talking-the-story-of-richard-d-zanuck.html,https://eplayvid.net/watch/5f9d0706a59e94c,
23,https://cdn.upmovies.net/MV5BMTk0MjE2MzI0Nl5BMl5BanBnXkFtZTgwNzc0MzAxMzE@._V1_SX300.jpg,I'd Kill For You: Season 3,"Crime, Drama",United States,,,2013–,Quinton Flynn,,https://upmovies.net/watch/gdV4zqxD-i-d-kill-for-you-season-3.html,https://eplayvid.net/watch/04bdf9a4db39c5f,"https://eplayvid.net/watch/04bdf9a4db39c5f, https://eplayvid.net/watch/2b616abe5b0c64e, https://eplayvid.net/watch/f3ba22f5a659987, https://eplayvid.net/watch/93bdcdd89f4330c, https://eplayvid.net/watch/926c56f1bc94b3d, https://eplayvid.net/watch/0b9b6e09f18d914, https://eplayvid.net/watch/7e159903478b5b8, https://eplayvid.net/watch/69f957c366cb6c9, https://eplayvid.net/watch/044ba8064aa7a29, https://eplayvid.net/watch/44e437f5de9439d"
24,https://cdn.upmovies.net/LqZ8krY.jpg,I'd Kill For You: Season 2,"Crime, Drama",United States,,,2013–,"Harry L. Seddon, Ryan Jennifer, Kevin Cusick","lifts the lid on unbelievable crimes in which one human's love is chosen over another's life. These pre-meditated, highly calculated killings were all orchestrated by a twisted manipulator who used their love as the ultimate murder weapon.",https://upmovies.net/watch/pxwQ7Odz-i-d-kill-for-you-season-2.html,https://eplayvid.net/watch/0fb3fca342de916,"https://eplayvid.net/watch/e31995a6564c7a7, https://eplayvid.net/watch/0ef2d7145deb9f3, https://eplayvid.net/watch/0fb3fca342de916, https://eplayvid.net/watch/19c5d8b84174348, https://eplayvid.net/watch/8827398d0675fcf, https://eplayvid.net/watch/fcf7ae889b0c9f4, https://eplayvid.net/watch/3f452341eb78712, https://eplayvid.net/watch/4fd3ddb1c5fde52, https://eplayvid.net/watch/6a8f76b16d66cb6, https://eplayvid.net/watch/a8168c88e61d143, https://eplayvid.net/watch/a47bfd192adcf92"
25,https://cdn.upmovies.net/LZFl4Nu.jpg,Nurse 3-d,Thriller,United States,Douglas Aarniokoski,84 min,2013,"Paz de la Huerta, Katrina Bowden, Judd Nelson","By day Abby Russell is a dedicated nurse, someone you wouldn't hesitate to trust your life with. But by night, her real work begins...using her smoldering sexuality she lures cheating men to their brutal deaths and exposes them for who they really are. When a younger nurse starts to suspect Abby's actions and compromises her master plan, Abby must find a way to outsmart her long enough to bring the cheater you'd least expect to justice...",https://upmovies.net/watch/gdVRekdD-nurse-3-d.html,https://eplayvid.net/watch/87b951baec7a796,
26,https://cdn.upmovies.net/HaButiQ.jpg,W.m.d.,"Action, Thriller, War",United States,Richard Halpern,81 min,2013,"Tom Kiesche, John Posey, Weetus Cren",The Iraq war has turned from 'Mission Accomplished' into a hellhole with an indeterminate outcome. There are no WMDs. No links to Al Qaeda. No imminent threat as promised by the ...,https://upmovies.net/watch/zGOePevK-w-m-d.html,https://eplayvid.net/watch/eb4f458032e7bba,
27,https://cdn.upmovies.net/DzCFyP1.jpg,D-day,"Action, Thriller",India,Nikhil Advani,153 min,2013,"Irrfan Khan, Rishi Kapoor, Arjun Rampal","9 years ago Wali Khan (Irrfan Khan) was sent into Karachi, Pakistan by the Chief of RAW Ashwini Rao (Nasser) to report the activities of The Most Wanted Man in India. 9 days ago Rudra Pratap Singh (Arjun Rampal) Indian Armed Forces, MARCOS unit, Zoya Rehman (Huma Qureshi) RAW Explosives expert, and Aslam, a petty thief from the streets of Mumbai recruited by RAW, infiltrated Pakistan to join Wali Khan and carry out the mission to bring back The Most Wanted Man in India. The man who was going to break all ISI protocol and security and attend his own son's wedding. The man who could on that day be abducted and brought back to India to face justice. 1 day ago everything went according to plan until it all failed. The team sent in to bring The Most Wanted Man in India, did the unthinkable - they carried out the most daring operation and almost got away with it. Almost because, something went horribly wrong...",https://upmovies.net/watch/rdmD7BGX-d-day.html,https://eplayvid.net/watch/ebfe4aa9a2b8071,
28,https://cdn.upmovies.net/8sxFMfv.jpg,A.c.o.d.,Comedy,United States,Stu Zicherman       (as Stuart Zicherman),88 min,2013,"Adam Scott, Richard Jenkins, Catherine O'Hara",A.C.O.D. follows a seemingly well-adjusted Adult Child of Divorce (Adam Scott) who is forced to revisit the chaos of his parents' (Catherine O'Hara and Richard Jenkins) bitter divorce all over again after his younger brother (Clark Duke) decides to get married...,https://upmovies.net/watch/pxweXedz-a-c-o-d.html,https://eplayvid.net/watch/85805c10b01fd0d,
29,https://cdn.upmovies.net/LqZ8krY.jpg,I'd Kill For You: Season 1,"Crime, Drama",United States,,,2013–,"Harry L. Seddon, Ryan Jennifer, Kevin Cusick","lifts the lid on unbelievable crimes in which one human's love is chosen over another's life. These pre-meditated, highly calculated killings were all orchestrated by a twisted manipulator who used their love as the ultimate murder weapon.",https://upmovies.net/watch/ox0M64Ge-i-d-kill-for-you-season-1.html,https://eplayvid.net/watch/ea93285b9a9637e,"https://eplayvid.net/watch/ea93285b9a9637e, https://eplayvid.net/watch/d52cdcfd9eea4b4, https://eplayvid.net/watch/777b8b520a1f1aa, https://eplayvid.net/watch/86ba65b3ddef097, https://eplayvid.net/watch/6aced7d4022138b, https://eplayvid.net/watch/93908fbb49e4c13, https://eplayvid.net/watch/517e9f6503596e6, https://eplayvid.net/watch/52f8e850bcc32dd, https://eplayvid.net/watch/bb12f997817bb67, https://eplayvid.net/watch/70ceb936900a007"
